video_id,middle_frame_timestamp,x1,y1,x2,y2,action_id
-5KQ66BBWC4,922,0.206,0.168,0.805,0.97,64
-5KQ66BBWC4,923,0.622,0.133,0.807,0.985,64
-5KQ66BBWC4,925,0.285,0.233,0.541,0.93,64
-5KQ66BBWC4,925,0.547,0.145,0.848,0.999,64
-5KQ66BBWC4,926,0.378,0.222,0.887,0.959,64
-5KQ66BBWC4,932,0.263,0.269,0.603,0.964,64
-5KQ66BBWC4,932,0.503,0.119,0.947,0.998,64
-5KQ66BBWC4,933,0.221,0.3,0.677,1.0,64
-5KQ66BBWC4,934,0.012,0.111,0.344,0.976,64
-5KQ66BBWC4,935,0.046,0.258,0.332,0.766,64
-5KQ66BBWC4,935,0.313,0.089,0.866,0.964,64
-5KQ66BBWC4,936,0.347,0.073,0.792,0.979,64
-5KQ66BBWC4,938,0.23,0.158,0.494,0.856,64
-5KQ66BBWC4,939,0.285,0.091,0.77,0.948,64
-5KQ66BBWC4,941,0.031,0.21,0.671,0.959,64
-5KQ66BBWC4,942,0.103,0.22,0.726,0.97,64
-5KQ66BBWC4,942,0.661,0.461,0.997,0.996,64
-5KQ66BBWC4,944,0.019,0.182,0.462,0.876,64
-5KQ66BBWC4,945,0.142,0.109,0.562,0.98,64
-5KQ66BBWC4,946,0.09,0.187,0.313,0.974,64
-5KQ66BBWC4,947,0.12,0.006,0.337,1.0,64
-5KQ66BBWC4,948,0.168,0.084,0.419,0.97,64
-5KQ66BBWC4,949,0.148,0.083,0.456,0.934,64
-5KQ66BBWC4,951,0.649,0.139,0.886,1.0,64
-5KQ66BBWC4,952,0.302,0.175,0.542,0.952,64
-5KQ66BBWC4,954,0.018,0.006,0.365,0.82,64
-5KQ66BBWC4,954,0.404,0.184,0.659,0.971,64
-5KQ66BBWC4,955,0.113,0.067,0.587,0.99,64
-5KQ66BBWC4,956,0.204,0.103,0.814,0.988,64
-5KQ66BBWC4,957,0.304,0.392,0.755,0.968,64
-5KQ66BBWC4,958,0.555,0.269,0.918,1.0,64
-5KQ66BBWC4,958,0.77,0.314,0.941,0.782,64
-5KQ66BBWC4,959,0.414,0.276,0.743,0.952,64
-5KQ66BBWC4,960,0.231,0.21,0.591,0.987,64
-5KQ66BBWC4,960,0.544,0.265,0.935,0.998,64
-5KQ66BBWC4,962,0.607,0.292,0.966,0.971,64
-5KQ66BBWC4,1317,0.537,0.559,0.654,0.782,64
-5KQ66BBWC4,1317,0.655,0.491,0.75,0.807,64
-5KQ66BBWC4,1318,0.541,0.556,0.642,0.81,64
-5KQ66BBWC4,1318,0.63,0.589,0.732,0.813,64
-5KQ66BBWC4,1319,0.618,0.557,0.718,0.83,64
-5KQ66BBWC4,1320,0.54,0.539,0.599,0.826,64
-5KQ66BBWC4,1320,0.612,0.54,0.692,0.823,64
-5KQ66BBWC4,1321,0.543,0.552,0.622,0.828,64
-5KQ66BBWC4,1321,0.623,0.61,0.732,0.828,64
-5KQ66BBWC4,1322,0.516,0.536,0.636,0.835,64
-5KQ66BBWC4,1322,0.626,0.503,0.705,0.817,64
-5KQ66BBWC4,1323,0.532,0.519,0.605,0.8,64
-5KQ66BBWC4,1323,0.624,0.496,0.695,0.821,64
-5KQ66BBWC4,1324,0.251,0.299,0.479,0.735,64
-5KQ66BBWC4,1324,0.725,0.029,0.991,0.965,64
-5KQ66BBWC4,1325,0.277,0.12,0.578,0.742,64
-5KQ66BBWC4,1325,0.591,0.064,0.871,0.948,64
-5KQ66BBWC4,1326,0.248,0.204,0.474,0.761,64
-5KQ66BBWC4,1326,0.589,0.13,0.849,0.994,64
-5KQ66BBWC4,1329,0.384,0.252,0.685,0.995,64
-5KQ66BBWC4,1329,0.617,0.176,0.863,0.969,64
-5KQ66BBWC4,1331,0.48,0.251,0.798,0.984,64
